Corpus,PID,URL,Title (de),Title (en),Author (de),Author (en),Description (de),Description (en)
bz,http://hdl.handle.net/11858/00-203C-0000-0029-C1C8-D,https://www.dwds.de/r?corpus=bz,Berliner Zeitung (1994–2005),Berliner Zeitung (1994–2005),"DWDS + CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften","DWDS + CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities",Berliner Zeitung (1994–2005) – Zeitungsarchiv an der Berlin-Brandenburgische Akademie der Wissenschaften.,Berliner Zeitung (1994–2005) – Newspaper archive at the Berlin-Brandenburg Academy of Sciences and Humanities.
c4,http://hdl.handle.net/11858/00-203C-0000-0023-EAB2-D,https://www.korpus-c4.org,Korpus C4,Corpus C4,"Deutsches Textarchiv + CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften","German Text Archive + CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities","Gemeinsames Korpus des Digitalen Wörterbuchs der deutschen Sprache des 20. Jahrhunderts (DWDS), des Austrian Academy Corpus (AAC), des Korpus Südtirol und des Schweizer Textkorpus (CHTK).","Joint text corpus drawn from the Digital Dictionary of 20th-Century German (DWDS), the Austrian Academy Corpus (AAC), the Korpus Südtirol, and the Schweizer Textkorpus (CHTK)."
dingler,http://hdl.handle.net/11858/00-203C-0000-0023-8325-E,http://www.dinglr.de,Polytechnisches Journal (Dingler Online),Polytechnical Journal (Dingler Online),"Deutsches Textarchiv + CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften","German Text Archive + CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities",Textbestand des Polytechnisches Journals (Dingler Online) an der BBAW CLARIN-D Service Centre.,Text corpus of the Polytechnical Journal (Dingler Online) at the BBAW CLARIN-D Service Centre.
dta,http://hdl.handle.net/11858/00-203C-0000-0023-8324-0,https://www.deutschestextarchiv.de,Deutsches Textarchiv (DTA),German Text Archive (DTA),"Deutsches Textarchiv + CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften","German Text Archive + CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities",Deutsches Textarchiv (DTA) – Grundlage für ein Referenzkorpus der neuhochdeutschen Sprache.,German Text Archive (DTA) – Basis for a reference corpus of the New High German language.
grenzboten,http://hdl.handle.net/11858/00-203C-0000-002E-1DFC-8,https://brema.suub.uni-bremen.de/grenzboten/,Die Grenzboten,Die Grenzboten (“Messengers from the Borders”),"Staats- und Universitätsbibliothek Bremen, Deutsches Textarchiv + CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften","State and University Library Bremen, German Text Archive + CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities",Die Grenzboten (1841–1922) – digitalisierte Zeitschrift aus dem Bestand der Staats- und Universitätsbibliothek Bremen.,Die Grenzboten (“Messengers from the Borders”) (1841–1922) – digitized periodical from the archives of the State and University Library Bremen.
ibk_dchat,http://hdl.handle.net/11858/00-203C-0000-002E-1DFD-6,https://www.chatkorpus.tu-dortmund.de,Dortmunder Chat-Korpus,Dortmund Chat Corpus,"Textkorpus erstellt von Prof. Dr. Angelika Storrer und Dr. Michael Beißwenger, Institut für deutsche Sprache und Literatur der Technischen Universität Dortmund. Korpusindex und FCS-Endpoint bereitgestellt vom Deutschen Textarchiv und CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften.","Corpus compiled by Prof. Dr. Angelika Storrer and Dr. Michael Beißwenger, Institut for the German Language and Technical University Dortmund. Corpus index and FCS endpoint provided by the German Text Archive and CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities.",Dortmunder Chat-Korpus – Grundlage und Hilfsmittel für sprachwissenschaftliche Untersuchungen zur synchronen internetbasierten Kommunikation.,Dortmund Chat Corpus – Basis for and aid to linguistic investigations of synchronic internet-based communication.
kern,http://hdl.handle.net/11858/00-203C-0000-0029-C1CA-9,https://www.dwds.de/r?corpus=kern,DWDS-Kernkorpus,DWDS-Kernkorpus,"DWDS + CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften","DWDS + CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities","Das DWDS-Kernkorpus des 20. Jahrhunderts an der Berlin-Brandenburgischen Akademie der Wissenschaften ist ein zeitlich und nach Textsorten (Belletristik, Gebrauchsliteratur, Wissenschaft, journalistische Prosa) ausgewogenes Korpus des gesamten 20. Jahrhunderts. Textgrundlage sind Werke der Literatur, wissenschaftliche Texte, Gebrauchstexte und Zeitungstexte, die in einem ausgewogenen Verhältnis zueinander stehen.",DWDS-Kernkorpus – balanced corpus of 20th-century German at the Berlin-Brandenburg Academy of Sciences and Humanities.
rem,http://hdl.handle.net/11858/00-203C-0000-002E-1DFB-A,https://www.deutschestextarchiv.de/rem/,Referenzkorpus Mittelhochdeutsch (ReM),Reference Corpus of Middle High German (ReM),"Textkorpus erstellt und annotiert von Thomas Klein, Klaus-Peter Wegera, Stefanie Dipper, und Claudia Wich-Reif. Korpusindex und FCS-Endpoint bereitgestellt vom Deutschen Textarchiv und CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften.","Corpus compiled and annotated by Thomas Klein, Klaus-Peter Wegera, Stefanie Dipper, und Claudia Wich-Reif. Corpus index and FCS endpoint provided by the German Text Archive and CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities.",Referenzkorpus Mittelhochdeutsch (ReM) – ein Korpus diplomatisch transkribierter und annotierter Texte des Mittelhochdeutschen (1050–1350).,Reference Corpus of Middle High German (ReM) – a corpus of diplomatically transcribed and annotated texts from Middle High German (1050–1350).
tsp,http://hdl.handle.net/11858/00-203C-0000-0029-C1C9-B,https://www.dwds.de/r?corpus=tsp,Tagesspiegel,Tagesspiegel,"DWDS + CLARIN-D, Berlin-Brandenburgische Akademie der Wissenschaften","DWDS + CLARIN-D, Berlin-Brandenburg Academy of Sciences and Humanities",Tagesspiegel – Zeitungsarchiv an der Berlin-Brandenburgischen Akademie der Wissenschaften.,Tagesspiegel – Newspaper archive at the Berlin-Brandenburg Academy of Sciences and Humanities.
dwdsxl,http://hdl.handle.net/21.11120/0000-000F-D5E7-C,https://www.dwds.de/d/korpora/dwdsxl,DWDS – Gegenwartskorpora,DWDS – Contemporary Corpora,"DWDS, Berlin-Brandenburgische Akademie der Wissenschaften","DWDS, Berlin-Brandenburg Academy of Sciences and Humanities",Sammlung gegenwartssprachlicher Textkorpora an der Berlin-Brandenburgischen Akademie der Wissenschaften,Collection of contemporary text corpora at the Berlin-Brandenburg Academy of Sciences and Humanities
dtaxl,http://hdl.handle.net/21.11120/0000-000F-D5EB-8,https://www.deutschestextarchiv.de/sammlungen/dtaxl,DTA/DWDS – Historische Korpora,DTA/DWDS – Historical Corpora,"DTA + DWDS, Berlin-Brandenburgische Akademie der Wissenschaften","DTA + DWDS, Berlin-Brandenburg Academy of Sciences and Humanities",Sammlung historischer Textkorpora an der Berlin-Brandenburgischen Akademie der Wissenschaften,Collection of historical text corpora at the Berlin-Brandenburg Academy of Sciences and Humanities
